title,subtitle,imgurl,imgname,attr,price
奇焕精油洗护,欧莱雅奇焕精油洗发露（奇焕奢卷）,https://www.lorealparis.com.cn/Images/products/Images/G3588100_288_g.jpg,4241ae08-1040-11e9-9cb2-f430b9124a41,净化头皮发丝，去除多余油脂浊质。卷发秀发持久清爽，丝丝轻盈。,￥109.00
奇焕润发精油蔷薇臻耀,欧莱雅奇焕润发精油蔷薇臻耀  洗发露,https://www.lorealparis.com.cn/Images/products/Images/G2989009_288_g.jpg,4247cb14-1040-11e9-b01c-f430b9124a41,萃取自法国蔷薇精萃油，即刻滋养，顺滑莹亮，蔷薇馨香萦绕发丝,￥78.00
奇焕润发精油蔷薇臻耀,欧莱雅奇焕润发精油蔷薇臻耀  润发乳,https://www.lorealparis.com.cn/Images/products/Images/G2988709_288_g.jpg,4247cb15-1040-11e9-b17a-f430b9124a41,萃取自法国蔷薇精萃油，即刻滋养，顺滑莹亮，蔷薇馨香萦绕发丝,￥78.00
精油润养8丰盈,欧莱雅精油润养白椰丰盈润发乳,https://www.lorealparis.com.cn/Images/products/Images/G3081500_288_g.jpg,4248671c-1040-11e9-9dbe-f430b9124a41,8种植物微萃油 润养发根至发梢 扁塌秀发也能拥有,￥21.00
精油润养8丰盈,欧莱雅精油润养白椰丰盈洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3081700_288_g.jpg,42490394-1040-11e9-a06c-f430b9124a41,全新升级，柔顺亮泽长达48小时，含冷萃白椰油，润养发根至发梢，扁塌秀发也能拥有,￥21.00
精油润养8,欧莱雅精油润养护发膜,https://www.lorealparis.com.cn/Images/products/Images/G3082800_288_g.jpg,424a3d36-1040-11e9-9e12-f430b9124a41,全新升级，持久柔顺亮泽，8种植物精粹油，润养发根至发梢。,￥59.00
精油润养8,欧莱雅精油润养润发乳,https://www.lorealparis.com.cn/Images/products/Images/G3081900_288_g.jpg,424a3d37-1040-11e9-b28b-f430b9124a41,全新升级，柔顺亮泽长达48小时，8种植物精粹油，润养发根至发梢。,￥21.00
精油润养8,欧莱雅精油润养去屑洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3082600_288_g.jpg,424ad8fa-1040-11e9-b232-f430b9124a41,全新升级，柔顺亮泽长达48小时，8种植物精粹油，润养发根至发梢。,￥21.00
精油润养8,欧莱雅精油润养洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3082300_288_g.jpg,424ad8fb-1040-11e9-a073-f430b9124a41,全新升级，柔顺亮泽长达48小时，8种植物精粹油，润养发根至发梢。,￥21.00
透明质酸水润,欧莱雅透明质酸水润去屑洗发露（倍润）,https://www.lorealparis.com.cn/Images/products/Images/G1153506_288_g.jpg,424cae40-1040-11e9-9178-f430b9124a41,全新升级，一瓶双效，72小时劲爽发根，卓效去屑，水润发梢，无硅配方,￥21.00
